WAS2018,Thomas Bryant,2018,WAS,72,Active,C,21,10.5
DET2018,Reggie Bullock,2018,DET,44,Active,SG,27,12.1
LAL2018,Reggie Bullock,2018,LAL,19,Active,SG,27,9.3
NYK2018,Trey Burke,2018,NYK,33,Active,PG,26,11.8
DAL2018,Trey Burke,2018,DAL,25,Active,PG,26,9.7
UTA2018,Alec Burks,2018,UTA,17,Active,SG,27,8.4
CLE2018,Alec Burks,2018,CLE,34,Active,SG,27,11.6
SAC2018,Alec Burks,2018,SAC,13,Active,SG,27,1.7
OKC2018,Deonte Burton,2018,OKC,32,Active,SG,25,2.6
MIN2018,Jimmy Butler,2018,MIN,10,Active,SG,29,21.3
PHI2018,Jimmy Butler,2018,PHI,55,Active,SF,29,18.2
MEM2018,Bruno Caboclo,2018,MEM,34,Active,SF,23,8.3
DET2018,José Calderón,2018,DET,49,Active,PG,37,2.3
LAL2018,Kentavious Caldwell-Pope,2018,LAL,82,Active,SG,25,11.4
PHO2018,Isaiah Canaan,2018,PHO,19,Active,PG,27,7.5
HOU2018,Clint Capela,2018,HOU,67,Active,C,24,16.6
BRK2018,DeMarre Carroll,2018,BRK,67,Active,PF,32,11.1
MEM2018,Jevon Carter,2018,MEM,39,Active,PG,23,4.4
ATL2018,Vince Carter,2018,ATL,76,Active,SF,42,7.4
CHI2018,Wendell Carter,2018,CHI,44,Active,C,19,10.3
HOU2018,Michael Carter-Williams,2018,HOU,16,Active,PG,27,4.3
ORL2018,Michael Carter-Williams,2018,ORL,12,Active,PG,27,5.4
LAL2018,Alex Caruso,2018,LAL,25,Active,PG,24,9.2
MEM2018,Omri Casspi,2018,MEM,36,Active,SF,30,6.3
SAC2018,Willie Cauley-Stein,2018,SAC,81,Active,C,25,11.9
UTA2018,Tyler Cavanaugh,2018,UTA,11,Active,PF,24,0.8
LAL2018,Tyson Chandler,2018,LAL,48,Active,C,36,3.1
PHI2018,Wilson Chandler,2018,PHI,36,Active,PF,31,6.7
LAC2018,Wilson Chandler,2018,LAC,15,Active,SF,31,4.3
HOU2018,Marquese Chriss,2018,HOU,16,Active,PF,21,1.8
CLE2018,Marquese Chriss,2018,CLE,27,Active,PF,21,5.7
HOU2018,Gary Clark,2018,HOU,51,Active,PF,24,2.9
NOP2018,Ian Clark,2018,NOP,60,Active,SG,27,6.7
CLE2018,Jordan Clarkson,2018,CLE,81,Active,SG,26,16.8
ATL2018,John Collins,2018,ATL,61,Active,PF,21,19.5
POR2018,Zach Collins,2018,POR,77,Active,C,21,6.6
